"educ_yrs","age","exper","month_interview","wealth_group","female","rural","earnings_usd","years_lived_elsewhere","christian_main","christian_evang","muslim","kikuyu"
8,40,26,3,3,1,0,5,37,1,0,0,0
8,41,27,3,4,1,1,5,41,1,0,0,1
12,20,2,3,3,1,1,5,20,1,0,0,1
12,23,5,2,5,1,0,5,23,1,0,0,0
8,24,10,2,5,1,0,5,24,1,0,0,0
12,39,21,2,4,1,1,5,36,1,0,0,0
8,32,18,5,2,1,1,5,32,1,0,0,0
4,45,35,6,2,1,1,5,45,1,0,0,1
8,34,20,6,2,1,1,5,34,0,1,0,1
12,34,16,6,3,1,1,5,34,1,0,0,1
12,48,30,6,2,1,1,5,48,0,1,0,0
8,22,8,5,4,1,1,5,22,0,1,0,1
8,27,13,6,4,1,1,5,27,1,0,0,1
12,28,10,5,5,1,0,5,3,1,0,0,1
8,47,33,5,3,1,0,5,10,1,0,0,0
12,22,4,5,3,1,0,5,22,1,0,0,0
10,47,31,5,4,1,0,5,21,1,0,0,1
8,47,33,5,3,1,0,5,21,0,1,0,1
2,45,37,5,4,1,0,5,13,0,1,0,1
12,25,7,4,5,1,0,5,24,1,0,0,1
12,22,4,4,5,1,0,5,21,1,0,0,1
15,24,3,4,5,1,0,5,24,1,0,0,1
5,37,26,3,3,1,1,5,17,0,1,0,0
8,28,14,7,4,1,0,5,28,0,0,0,1
14,22,2,2,5,1,0,5,4,0,1,0,0
12,41,23,2,4,1,0,5,41,0,1,0,0
12,32,14,4,2,1,0,5,25,1,0,0,0
14,25,5,3,5,1,0,5,22,1,0,0,1
14,28,8,3,5,1,0,5,24,1,0,0,1
7,19,6,2,1,1,1,5,15,1,0,0,0
12,39,21,6,4,1,0,5,29,1,0,0,0
12,42,24,3,5,1,0,5,41,0,1,0,1
12,29,11,3,5,1,0,5,26,1,0,0,1
13,32,13,3,5,1,0,5,32,1,0,0,1
15,38,17,4,5,1,0,5,28,0,1,0,1
9,20,5,4,5,1,0,5,19,0,1,0,1
14,22,2,4,5,1,0,5,22,0,1,0,1
7,33,20,3,2,1,1,5,23,0,1,0,0
15,31,10,3,4,1,1,5,2,1,0,0,0
15,22,1,3,3,1,1,5,22,0,1,0,1
15,28,7,4,5,1,1,5,28,1,0,0,0
12,23,5,5,5,1,0,5,23,1,0,0,0
7,34,21,5,2,1,1,5,34,0,1,0,0
8,23,9,4,4,1,1,5,0,0,1,0,0
15,30,9,3,4,1,0,5,30,1,0,0,0
16,30,8,3,5,1,0,5,30,1,0,0,0
8,27,13,4,4,1,0,5,17,1,0,0,0
12,43,25,4,5,1,0,5,43,1,0,0,0
8,39,25,4,5,1,0,5,39,0,1,0,1
16,28,6,6,4,1,1,5,28,1,0,0,0
8,30,16,6,3,1,1,5,30,0,1,0,0
7,28,15,3,2,1,1,5,28,0,1,0,0
7,37,24,3,1,1,1,5,37,1,0,0,0
7,30,17,5,2,1,1,5,15,1,0,0,0
9,21,6,4,3,1,1,5,20,1,0,0,0
12,20,2,5,2,1,1,5,20,1,0,0,0
10,43,27,3,3,1,1,5,23,1,0,0,0
7,41,28,2,1,1,1,5,28,1,0,0,0
7,21,8,2,3,1,1,5,18,1,0,0,0
12,45,27,2,3,1,1,5,45,1,0,0,0
8,34,20,2,4,1,1,5,29,1,0,0,0
8,25,11,2,2,1,1,5,25,0,1,0,0
8,36,22,2,1,1,1,5,36,0,1,0,0
12,22,4,2,4,1,0,5,17,1,0,0,0
4,34,24,6,1,1,1,5,34,0,0,0,0
7,49,36,5,5,1,0,5,49,0,1,0,0
6,26,14,5,2,1,1,5,26,1,0,0,0
14,26,6,5,5,1,1,5,26,0,0,1,0
